Input String,comet_token id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon,
,,
Action,Stack,Remaining Input
SHIFT,,comet_token id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon
SHIFT,comet_token,id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon
REDUCE TO comet_token identifier <- id_var2        ,,
SHIFT,comet_token identifier,arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon
SHIFT,comet_token identifier arith_assign,cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon
REDUCE TO comet_token identifier arith_assign comet_literal <- cmt_3      ,,
SHIFT,comet_token identifier arith_assign comet_literal,sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon
REDUCE TO decStmt <- comet_token identifier arith_assign comet_literal sep_semicolon     ,,
SHIFT,decStmt,comet_token id_var1 arith_assign id_var2 sep_semicolon
SHIFT,decStmt comet_token,id_var1 arith_assign id_var2 sep_semicolon
REDUCE TO decStmt comet_token identifier <- id_var1       ,,
SHIFT,decStmt comet_token identifier,arith_assign id_var2 sep_semicolon
SHIFT,decStmt comet_token identifier arith_assign,id_var2 sep_semicolon
REDUCE TO decStmt comet_token identifier arith_assign identifier <- id_var2     ,,
SHIFT,decStmt comet_token identifier arith_assign identifier,
REDUCE TO decStmt decStmt <- comet_token identifier arith_assign identifier sep_semicolon    ,,
ACCEPT,,
