Input String,comet_token id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_3 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon orbit_token sep_op_par id_var2 comp_not cmt_0 logic_and id_var3 comp_eq cmt_5 logic_or id_var1 comp_eq cmt_4 sep_cl_par sep_op_brac transmission_token sep_op_par "hello" sep_cl_par sep_semicolon sep_cl_brac sep_semicolon,
,,
Action,Stack,Remaining Input
SHIFT,,comet_token id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_3 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon orbit_token sep_op_par id_var2 comp_not cmt_0 logic_and id_var3 comp_eq cmt_5 logic_or id_var1 comp_eq cmt_4 sep_cl_par sep_op_brac transmission_token sep_op_par "hello" sep_cl_par sep_semicolon sep_cl_brac sep_semicolon
SHIFT,comet_token,id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_3 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon orbit_token sep_op_par id_var2 comp_not cmt_0 logic_and id_var3 comp_eq cmt_5 logic_or id_var1 comp_eq cmt_4 sep_cl_par sep_op_brac transmission_token sep_op_par "hello" sep_cl_par sep_semicolon sep_cl_brac sep_semicolon
REDUCE TO comet_token identifier <- id_var2                                               ,,
SHIFT,comet_token identifier,arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_3 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon orbit_token sep_op_par id_var2 comp_not cmt_0 logic_and id_var3 comp_eq cmt_5 logic_or id_var1 comp_eq cmt_4 sep_cl_par sep_op_brac transmission_token sep_op_par "hello" sep_cl_par sep_semicolon sep_cl_brac sep_semicolon
SHIFT,comet_token identifier arith_assign,cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_3 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon orbit_token sep_op_par id_var2 comp_not cmt_0 logic_and id_var3 comp_eq cmt_5 logic_or id_var1 comp_eq cmt_4 sep_cl_par sep_op_brac transmission_token sep_op_par "hello" sep_cl_par sep_semicolon sep_cl_brac sep_semicolon
REDUCE TO comet_token identifier arith_assign comet_literal <- cmt_3                                             ,,
SHIFT,comet_token identifier arith_assign comet_literal,sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_3 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon orbit_token sep_op_par id_var2 comp_not cmt_0 logic_and id_var3 comp_eq cmt_5 logic_or id_var1 comp_eq cmt_4 sep_cl_par sep_op_brac transmission_token sep_op_par "hello" sep_cl_par sep_semicolon sep_cl_brac sep_semicolon
REDUCE TO decStmt <- comet_token identifier arith_assign comet_literal sep_semicolon                                            ,,
